Test name,P2/Pintos group ID (anonymized),Log file name,Bug found?,Timed out?,Bug time (wall=CPU) (usecs),Completion time (usecs),Max ICB bound (table 2 in paper),# interleavings in max ICB bound state space,Elapsed time in completed max ICB bound state space,Estimated progress in max ICB bound state space (weighted backtrack estimator),ETA of max ICB bound state space (recursive estimator (note: may disagree with weighted backtrack estimator)),Bug trace filename
broadcast_test,nitrogen,ls-id-log-20160430052339.log.hQOzjZ.gz,0,0,,85700784,4,33,30s,,,
broadcast_test,osmium,ls-id-log-20160503160704.log.yhvCtE.gz,0,0,,200587606,6,217,55s,,,
broadcast_test,oxygen,ls-id-log-20160502233354.log.56qTej.gz,0,0,,22796513731,15,9042,42m 48s,,,
broadcast_test,palladium,ls-id-log-20160430042454.log.UppUsX.gz,0,0,,744575689,8,266,2m 47s,,,
broadcast_test,phosphorus,ls-id-log-20160502215709.log.bh3TYh.gz,0,0,,206016707,7,154,49s,,,
broadcast_test,platinum,ls-id-log-20160430074150.log.xDJGVm.gz,0,0,,723142272,8,325,2m 28s,,,
broadcast_test,potassium,ls-id-log-20160429184252.log.KGfUSl.gz,0,1,,,9,,,79.74%,142d 23h 44m 19s,
broadcast_test,praseodymium,ls-id-log-20160430041850.log.Lf63cT.gz,0,0,,367009141,8,164,1m 15s,,,
broadcast_test,promethium,ls-id-log-20160429181838.log.WuQZw2.gz,0,0,,709966595,8,325,2m 31s,,,
broadcast_test,rhenium,ls-id-log-20160503095235.log.tLRyH8.gz,0,0,,94714224,6,86,26s,,,
broadcast_test,rhodium,ls-id-log-20160505224058.log.KJvg61.gz,0,0,,160972351,8,72,38s,,,
broadcast_test,rubidium,ls-id-log-20160503095038.log.jtlThe.gz,0,0,,75862937,7,47,18s,,,
broadcast_test,ruthenium,ls-id-log-20160502215728.log.yMwcYw.gz,0,0,,6703009517,12,3530,15m 33s,,,
broadcast_test,samarium,ls-id-log-20160430075442.log.H2n6g6.gz,0,0,,382777065,11,142,51s,,,
broadcast_test,scandium,ls-id-log-20160430042853.log.UREArK.gz,0,0,,779889553,8,295,2m 56s,,,
broadcast_test,selenium,ls-id-log-20160505224113.log.Iwt8un.gz,0,0,,7584866513,13,3006,16m 59s,,,
broadcast_test,silicon,ls-id-log-20160430033759.log.8p0QkQ.gz,1,0,29955297,,1,4,,,,landslide-trace-1462001893.83.html
broadcast_test,silver,ls-id-log-20160505224039.log.uthLH3.gz,0,0,,471385256,7,45,1m 0s,,,
broadcast_test,sodium,ls-id-log-20160430084633.log.gdpSya.gz,0,0,,11365523198,12,3840,30m 29s,,,
broadcast_test,strontium,ls-id-log-20160502231726.log.koRoJP.gz,0,0,,955841191,10,624,2m 34s,,,
broadcast_test,sulfur,ls-id-log-20160430052341.log.2zdKDD.gz,0,1,,,6,,,59.61%,23d 10h 49m 8s,
broadcast_test,tantalum,ls-id-log-20160429223010.log.vZXics.gz,0,0,,17807356374,8,6268,58m 11s,,,
broadcast_test,technetium,ls-id-log-20160517034945.log.i487Fh.gz,1,0,18987115,,1,3,,,,landslide-trace-1463471395.95.html
broadcast_test,tellurium,ls-id-log-20160503080130.log.pztDjm.gz,0,0,,417040538,8,325,1m 21s,,,
broadcast_test,terbium,ls-id-log-20160503125327.log.aWN2Ub.gz,0,0,,163714360,8,119,33s,,,
broadcast_test,thulium,ls-id-log-20160430143112.log.IG0ocD.gz,0,0,,56312079,8,24,13s,,,
broadcast_test,tin,ls-id-log-20160430052339.log.GU4BMa.gz,0,0,,932684517,9,282,2m 52s,,,
broadcast_test,titanium,ls-id-log-20160503055429.log.5w5HlC.gz,0,1,,,2,,,15.95%,2d 11h 28m 52s,
broadcast_test,tungsten,ls-id-log-20160503103423.log.lpk0tL.gz,0,0,,229854867,8,107,46s,,,
broadcast_test,vanadium,ls-id-log-20160430010951.log.thK0UZ.gz,0,0,,137568850,7,47,34s,,,
broadcast_test,xenon,ls-id-log-20160429191846.log.IhlE2P.gz,0,1,,,6,,,68.19%,7h 56m 48s,
broadcast_test,ytterbium,ls-id-log-20160429182820.log.Jzw9z2.gz,0,0,,94371369,6,32,30s,,,
broadcast_test,yttrium,ls-id-log-20160502220934.log.qVEuyo.gz,0,0,,29538666512,13,17836,1h 5m 29s,,,
broadcast_test,zinc,ls-id-log-20160430051430.log.E7K1N4.gz,0,0,,702985077,8,282,1m 52s,,,
broadcast_test,zirconium,ls-id-log-20160430163114.log.M90BrY.gz,0,0,,303574837,8,105,45s,,,
mutex_test,aluminum,ls-id-log-20160111012539.log.z5gXXR.gz,0,0,,26350091,2,13,13s,,,
mutex_test,antimony,ls-id-log-20160111132518.log.fvpFXM.gz,0,0,,56948995,3,12,20s,,,
mutex_test,argon,ls-id-log-20160111012550.log.ZzU1v0.gz,0,0,,26288176,1,6,11s,,,
mutex_test,arsenic,ls-id-log-20160111012512.log.F3TatT.gz,0,0,,28193828,2,13,13s,,,
mutex_test,barium,ls-id-log-20160111102825.log.k3h97X.gz,0,0,,34977859,2,12,12s,,,
mutex_test,beryllium,ls-id-log-20160111013522.log.x5cMUB.gz,0,0,,28900706,2,13,11s,,,
mutex_test,boron,ls-id-log-20160111112617.log.Bn1mky.gz,0,0,,23152584,2,13,9s,,,
mutex_test,bromine,ls-id-log-20160111112603.log.MadD4E.gz,0,0,,23292804,1,8,9s,,,
mutex_test,cadmium,ls-id-log-20160111015003.log.XuiIHq.gz,0,0,,31896409,3,12,12s,,,
mutex_test,caesium,ls-id-log-20160111012622.log.kDFRcD.gz,0,0,,35441700,5,13,11s,,,
mutex_test,calcium,ls-id-log-20160111132513.log.T3m9vT.gz,0,0,,23173505,2,7,9s,,,
mutex_test,carbon,ls-id-log-20160111012525.log.971sAy.gz,0,0,,32431139,2,13,15s,,,
mutex_test,cerium,ls-id-log-20160111112548.log.6iC2JL.gz,0,0,,28507812,2,13,11s,,,
mutex_test,chlorine,ls-id-log-20160111012521.log.xoGNil.gz,0,0,,30332928,2,13,15s,,,
mutex_test,chromium,ls-id-log-20160111112838.log.AItrLE.gz,0,0,,26508624,3,12,10s,,,
mutex_test,cobalt,ls-id-log-20160111033611.log.sA6AX5.gz,0,0,,39294305,2,8,18s,,,
mutex_test,copper,ls-id-log-20160111103642.log.dLI9h6.gz,0,0,,27003827,2,13,9s,,,
mutex_test,dysprosium,ls-id-log-20160111151705.log.sJCN6C.gz,0,0,,23490565,2,13,9s,,,
mutex_test,erbium,ls-id-log-20160111013009.log.EC7cOa.gz,0,0,,25320654,2,9,9s,,,
mutex_test,europium,ls-id-log-20160111012527.log.8lyAzC.gz,0,0,,29968087,2,13,14s,,,
mutex_test,fluorine,ls-id-log-20160111112734.log.kqzDAI.gz,0,0,,21961407,2,12,9s,,,
mutex_test,gadolinium,ls-id-log-20160111112642.log.s0ul1e.gz,0,0,,23736887,2,13,10s,,,
mutex_test,gallium,ls-id-log-20160111012611.log.M15JTr.gz,0,0,,27881161,2,9,10s,,,
mutex_test,germanium,ls-id-log-20160111012531.log.JyZ5Fx.gz,0,0,,27236550,2,13,12s,,,
mutex_test,gold,ls-id-log-20160111012512.log.TCiZlM.gz,0,0,,26026496,1,6,12s,,,
mutex_test,hafnium,ls-id-log-20160111212744.log.W4GfxT.gz,0,0,,33620604,3,25,12s,,,
mutex_test,helium,ls-id-log-20160111012928.log.AKCgpR.gz,0,0,,41827387,1,6,28s,,,
mutex_test,holmium,ls-id-log-20160111112915.log.BRPmeD.gz,0,0,,23463026,2,13,9s,,,
mutex_test,hydrogen,ls-id-log-20160111014811.log.IAHRYT.gz,0,0,,34565197,2,8,16s,,,
mutex_test,indium,ls-id-log-20160111013318.log.HLs6dF.gz,0,0,,35655887,2,12,15s,,,
mutex_test,iodine,ls-id-log-20160111132721.log.T8i4e2.gz,0,0,,22328644,2,13,9s,,,
mutex_test,iridium,ls-id-log-20160111013139.log.3rOtpE.gz,0,0,,37216157,5,9,12s,,,
mutex_test,iron,ls-id-log-20160111012537.log.Q25pXF.gz,0,0,,36533085,5,8,13s,,,
mutex_test,kyrpton,ls-id-log-20160111055839.log.IVnCI6.gz,0,0,,26963237,2,13,10s,,,
mutex_test,lanthanum,ls-id-log-20160111020755.log.SNgL9O.gz,0,0,,57777592,3,23,25s,,,
mutex_test,lithium,ls-id-log-20160111012540.log.wycdAg.gz,0,0,,30553646,2,13,13s,,,
mutex_test,lutetium,ls-id-log-20160111132610.log.LMHPHO.gz,0,0,,24693897,3,11,9s,,,
mutex_test,magnesium,ls-id-log-20160111012755.log.2XtA0y.gz,0,0,,28352204,1,6,14s,,,
mutex_test,manganese,ls-id-log-20160111012542.log.CwZmT2.gz,0,0,,37076863,2,13,17s,,,
mutex_test,molybdenum,ls-id-log-20160111012504.log.igQsrI.gz,0,0,,29050740,2,13,13s,,,
mutex_test,neodymium,ls-id-log-20160111012718.log.cte5ZY.gz,0,0,,41167570,3,8,17s,,,
mutex_test,neon,ls-id-log-20160111012545.log.6PnOIe.gz,0,0,,29776337,2,13,11s,,,
mutex_test,nickel,ls-id-log-20160111012616.log.QfsBrU.gz,0,0,,26532486,2,12,12s,,,
mutex_test,niobium,ls-id-log-20160111012506.log.7RZ3ev.gz,0,0,,26360214,2,13,12s,,,
mutex_test,nitrogen,ls-id-log-20160111102510.log.QcH8Qn.gz,0,0,,38623874,2,12,19s,,,
mutex_test,osmium,ls-id-log-20160111012557.log.yrfs6b.gz,0,0,,33436928,2,13,15s,,,
